"","Gene_ID_IMG","Start.Coord","End.Coord","Strand","GC","Nuc","AA","Description","Gi","GeneID","Locus"
"Tery_2245","638107347","3490104","3490517","+","0.36","414","138","conserved hypothetical protein","113475886","4243338","-"
"Tery_2246","638107348","3493145","3494536","+","0.37","1392","464","asparaginyl-tRNA synthetase( EC:6.1.1.22 )","113475887","4243339","asnC"
"Tery_2247","638107349","3496049","3496810","+","0.38","762","254","conserved hypothetical protein","113475888","4243340","-"
"Tery_2248","638107350","3497028","3497783","+","0.35","756","252","metallophosphoesterase( EC:3.1.3.16,EC:3.1.3.16 )","113475889","4243341","-"
"Tery_2249","638107351","3498006","3498710","+","0.33","705","235","tRNA/rRNA methyltransferase (SpoU)( EC:2.1.1.34 )","113475890","4243342","-"
"Tery_2250","638107352","3498817","3499671","-","0.37","855","285","peptidase M48, Ste24p","113475891","4243343","-"
"Tery_2251","638107353","3501150","3501677","+","0.35","528","176","conserved hypothetical protein","113475892","4243344","-"
"Tery_2252","638107354","3502164","3502964","-","0.32","801","267","Methyltransferase type 11","113475893","4243345","-"
"Tery_2253","638107355","3503654","3505279","-","0.41","1626","542","2-isopropylmalate synthase( EC:2.3.3.13 )","113475894","4243346","-"
"Tery_2254","638107356","3506525","3507313","+","0.31","789","263","conserved hypothetical protein","113475895","4243347","-"
"Tery_2255","638107357","3507804","3511928","+","0.39","4125","1375","Tail Collar domain protein","113475896","4243348","-"
"Tery_2256","639331558","3512545","3513138","-","0.34","594","198","-","-","-","-"
"Tery_2257","638107358","3513238","3514542","+","0.34","1305","435","hypothetical protein","113475897","4243350","-"
"Tery_2258","638107359","3514663","3515331","+","0.33","669","223","transposase  putative","113475898","4243351","-"
"Tery_2259","638107360","3516223","3516486","-","0.42","264","88","hypothetical protein","113475899","4243352","-"
"Tery_2260","638107361","3517321","3518097","+","0.37","777","259","glucose-1-phosphate cytidylyltransferase( EC:2.7.7.33 )","113475900","4243353","-"
"Tery_2261","638107362","3518190","3519542","+","0.38","1353","451","DegT/DnrJ/EryC1/StrS aminotransferase","113475901","4243354","-"
"Tery_2262","638107363","3519633","3520676","+","0.38","1044","348","NAD-dependent epimerase/dehydratase( EC:4.2.1.46 )","113475902","4243355","-"
"Tery_2263","638107364","3520677","3522032","+","0.4","1356","452","GDP-mannose 6-dehydrogenase( EC:1.1.1.22,EC:1.1.1.132 )","113475903","4243356","-"
"Tery_2264","638107365","3522037","3522942","+","0.35","906","302","NAD-dependent epimerase/dehydratase","113475904","4243357","-"
"Tery_2265","638107366","3523142","3524452","+","0.41","1311","437","C-methyltransferase","113475905","4243358","-"
"Tery_2266","638107367","3524520","3528161","-","0.38","3642","1214","Tetratricopeptide TPR_2","113475906","4243359","-"
"Tery_2267","638107368","3528353","3529612","-","0.39","1260","420","UDP-glucose/GDP-mannose dehydrogenase( EC:1.1.1.- )","113475907","4243360","-"
"Tery_2268","638107369","3529656","3534458","-","0.39","4803","1601","glycosyl transferase, family 2","113475908","4243361","-"
"Tery_2269","638107370","3535618","3535845","-","0.25","228","76","hypothetical protein","113475909","4243362","-"
"Tery_2270","638107371","3535928","3536137","-","0.3","210","70","hypothetical protein","113475910","4243363","-"
"Tery_2271","638107372","3536404","3536574","-","0.3","171","57","hypothetical protein","113475911","4243364","-"
"Tery_2272","638107373","3537007","3537735","-","0.36","729","243","ABC transporter related( EC:3.6.3.- )","113475912","4243365","-"
"Tery_2273","638107374","3538187","3538705","-","0.38","519","173","OstA-like protein","113475913","4243366","-"
"Tery_2274","638107375","3539552","3541312","-","0.28","1761","587","MscS Mechanosensitive ion channel","113475914","4243269","-"
"Tery_2275","638107376","3542138","3543433","+","0.39","1296","432","gamma-glutamyl phosphate reductase( EC:1.2.1.41 )","113475915","4243270","-"
"Tery_2276","639331559","3544117","3544801","+","0.38","685","228.3333333","-","-","-","-"
"Tery_2277","638107377","3544888","3545535","+","0.36","648","216","Methyltransferase type 11","113475916","4243272","-"
"Tery_2278","639331560","3545586","3546372","+","0.34","787","262.3333333","-","-","-","-"
"Tery_2279","638107378","3546569","3547588","-","0.36","1020","340","conserved hypothetical protein","113475917","4243274","-"
"Tery_2280","638107379","3548049","3548804","-","0.36","756","252","conserved hypothetical protein","113475918","4243275","-"
"Tery_2281","638107380","3549171","3551342","-","0.37","2172","724","conserved hypothetical protein","113475919","4243276","-"
"Tery_2282","639331561","3552160","3552516","-","0.34","357","119","-","-","-","-"
"Tery_2283","638107381","3553177","3554112","-","0.39","936","312","Hsp33 protein","113475920","4243278","hslO"
"Tery_2284","638107382","3554368","3554751","+","0.38","384","128","conserved hypothetical protein","113475921","4243279","-"
"Tery_2285","638107383","3555159","3555497","-","0.35","339","113","hypothetical protein","113475922","4243280","-"
"Tery_2286","638107384","3556071","3556703","+","0.29","633","211","hypothetical protein","113475923","4243281","-"
"Tery_2287","638107385","3557173","3557646","+","0.31","474","158","TspO and MBR like proteins","113475924","4243282","-"
"Tery_2288","638107386","3557804","3559585","+","0.33","1782","594","Na+/solute symporter","113475925","4243283","-"
"Tery_2289","638107387","3560276","3560788","+","0.32","513","171","conserved hypothetical protein","113475926","4243284","-"
"Tery_2291","639331562","3561641","3562236","+","0.3","596","198.6666667","-","-","-","-"
"Tery_2292","638107389","3562883","3564298","-","0.32","1416","472","ATPase","113475928","4243287","-"
"Tery_2293","638107390","3564500","3565069","+","0.29","570","190","hypothetical protein","113475929","4243288","-"
"Tery_2294","638107391","3565074","3565556","+","0.35","483","161","hypothetical protein","113475930","4243289","-"
"Tery_2295","638107392","3565607","3566053","+","0.32","447","149","hypothetical protein","113475931","4243290","-"
"Tery_2296","638107393","3566076","3566405","+","0.33","330","110","hypothetical protein","113475932","4243291","-"
"Tery_2297","638107394","3566510","3567196","+","0.34","687","229","AAA ATPase, central region","113475933","4243292","-"
"Tery_2298","638107395","3567237","3567647","-","0.31","411","137","hypothetical protein","113475934","4243293","-"
"Tery_2300","638107397","3568160","3568531","+","0.34","372","124","hypothetical protein","113475936","4243295","-"
"Tery_2301","638107398","3568686","3568985","-","0.38","300","100","protein of unknown function UPF0016","113475937","4243296","-"
"Tery_2302","638107399","3569291","3569746","-","0.35","456","152","protein of unknown function UPF0016","113475938","4243297","-"
"Tery_2303","638107400","3569986","3570354","-","0.38","369","123","protein of unknown function UPF0153","113475939","4243298","-"
"Tery_2304","638107401","3570546","3570677","+","0.4","132","44","protein of unknown function DUF888","113475940","4243299","-"
"Tery_2305","638107402","3571184","3571870","-","0.39","687","229","two component transcriptional regulator, winged helix family","113475941","4243300","-"
"Tery_2306","638107403","3572228","3574060","+","0.32","1833","611","ABC transporter related","113475942","4243301","-"
"Tery_2307","638107404","3576309","3576746","+","0.35","438","146","Hemolysin-type calcium-binding region","113475943","4243302","-"
"Tery_2308","638107405","3577180","3578250","+","0.41","1071","357","anthranilate phosphoribosyltransferase( EC:2.4.2.18 )","113475944","4243303","trpD"
"Tery_2309","638107406","3578315","3578947","-","0.35","633","211","conserved hypothetical protein","113475945","4243304","-"
"Tery_2310","638107407","3579255","3580409","+","0.41","1155","385","carbamoyl-phosphate synthase, small subunit( EC:6.3.5.5 )","113475946","4243305","-"
"Tery_2311","638107408","3581233","3581475","+","0.39","243","81","anti-sigma-factor antagonist (STAS) domain protein","113475947","4243306","-"
"Tery_2312","638107409","3583508","3583900","+","0.38","393","131","Ribonuclease III","113475948","4243307","-"
"Tery_2313","638107410","3584216","3585082","+","0.38","867","289","RNA methyltransferase, TrmH family, group 3( EC:2.1.1.- )","113475949","4245195","-"
"Tery_2314","638107411","3585331","3586143","-","0.37","813","271","alpha/beta hydrolase fold( EC:3.4.11.5 )","113475950","4245196","-"
"Tery_2315","639331563","3586480","3587154","+","0.36","675","225","-","-","-","-"
"Tery_2316","638107412","3587593","3589917","-","0.38","2325","775","DNA ligase, NAD-dependent( EC:6.5.1.2 )","113475951","4245198","ligA"
"Tery_2317","638107413","3590161","3591117","-","0.34","957","319","COG1002: Type II restriction enzyme  methylase subunits","113475952","4245199","-"
"Tery_2318","638107414","3591690","3592478","+","0.39","789","263","type I secretion target repeat protein","113475953","4245200","-"
"Tery_2319","638107415","3592521","3593426","+","0.37","906","302","tRNA pseudouridine synthase B( EC:5.4.99.12 )","113475954","4245201","truB"
"Tery_2320","638107416","3594845","3595114","-","0.44","270","90","hypothetical protein","113475955","4245202","-"
"Tery_2321","639331564","3595329","3595556","-","0.4","228","76","-","-","-","-"
"Tery_2322","638107417","3597440","3597628","+","0.3","189","63","gas vesicle protein GVPa","113475956","4245204","-"
"Tery_2323","638107418","3597655","3597819","+","0.32","165","55","gas vesicle protein GVPa","113475957","4245205","-"
"Tery_2324","638107419","3598479","3598706","+","0.39","228","76","gas vesicle protein GVPa","113475958","4245206","-"
"Tery_2325","638107420","3599249","3599467","+","0.37","219","73","gas vesicle protein GVPa","113475959","4245207","-"
"Tery_2326","638107421","3600515","3601087","+","0.37","573","191","hypothetical protein","113475960","4245208","-"
"Tery_2327","638107422","3601653","3603533","+","0.36","1881","627","arsenite-activated ATPase ArsA( EC:3.6.3.16 )","113475961","4245209","-"
"Tery_2328","638107423","3603600","3604016","+","0.27","417","139","hypothetical protein","113475962","4245210","-"
"Tery_2329","638107424","3604202","3605137","+","0.39","936","312","gas vesicle protein GvpN","113475963","4245211","-"
"Tery_2330","638107425","3605134","3605445","+","0.39","312","104","gas vesicle protein GVPa","113475964","4245212","-"
"Tery_2331","638107426","3605596","3605820","+","0.32","225","75","lipoate-protein ligase","113475965","4245213","-"
"Tery_2332","638107427","3606014","3606475","+","0.39","462","154","Gas vesicle K","113475966","4245214","-"
"Tery_2333","639331565","3606839","3607162","+","0.37","324","108","-","-","-","-"
"Tery_2334","638107428","3608132","3609067","+","0.39","936","312","gas vesicle protein GvpN","113475967","4245216","-"
"Tery_2335","638107429","3609064","3609378","+","0.39","315","105","gas vesicle protein GVPa","113475968","4245217","-"
"Tery_2336","639331566","3609897","3610142","+","0.36","246","82","-","-","-","-"
"Tery_2337","638107430","3610554","3612473","-","0.4","1920","640","Vesicle-fusing ATPase( EC:3.6.4.6 )","113475969","4245219","-"
"Tery_2338","638107431","3613722","3613979","-","0.37","258","86","gas vesicle G","113475970","4245220","-"
"Tery_2339","638107432","3614311","3615111","+","0.32","801","267","Gas vesicle synthesis GvpLGvpF","113475971","4245221","-"
"Tery_2340","638107433","3615412","3616089","+","0.33","678","226","Gas vesicle synthesis protein GvpW","113475972","4245222","-"
"Tery_2341","638107434","3616506","3617300","+","0.38","795","265","hypothetical protein","113475973","4245223","-"
"Tery_2342","638107435","3617964","3618434","-","0.34","471","157","SsrA-binding protein","113475974","4245224","smpB"
"Tery_2343","638107436","3618887","3619681","-","0.35","795","265","conserved hypothetical protein","113475975","4245225","-"
"Tery_2344","638107437","3619958","3620287","-","0.36","330","110","conserved hypothetical protein","113475976","4245226","-"
"Tery_2345","638107438","3620967","3622208","-","0.4","1242","414","glycoside hydrolase, family 57","113475977","4245227","-"
"Tery_2346","638107439","3622433","3622984","-","0.32","552","184","conserved hypothetical protein","113475978","4245228","-"
"Tery_2347","638107440","3624340","3625269","+","0.32","930","310","putative CheA signal transduction histidine kinases","113475979","4245229","-"
"Tery_2348","638107441","3626091","3627389","-","0.32","1299","433","serine/threonine protein kinase","113475980","4245230","-"
"Tery_2349","638107442","3628413","3630362","-","0.42","1950","650","TPR repeat","113475981","4245231","-"
"Tery_2350","638107443","3631292","3631852","-","0.35","561","187","hypothetical protein","113475982","4245232","-"
"Tery_2352","638107445","3633780","3635186","-","0.4","1407","469","magnesium transporter","113475984","4245000","-"
"Tery_2353","638107446","3635609","3637234","-","0.41","1626","542","UspA","113475985","4245001","-"
"Tery_2354","638107447","3638104","3639891","+","0.42","1788","596","aspartyl-tRNA synthetase( EC:6.1.1.12 )","113475986","4245002","aspS"
"Tery_2355","638107448","3640631","3642940","-","0.43","2310","770","protein of unknown function DUF181","113475987","4245003","-"
"Tery_2356","638107449","3643250","3643588","-","0.35","339","113","conserved hypothetical protein","113475988","4245004","-"
"Tery_2357","638107450","3643590","3643964","-","0.41","375","125","protein of unknown function DUF433","113475989","4245005","-"
"Tery_2358","638107451","3644180","3644323","+","0.4","144","48","XisI protein-like","113475990","4245006","-"
"Tery_2359","638107452","3644581","3646008","+","0.41","1428","476","thiazoline oxidase/subtilisin-like protease","113475991","4245007","-"
"Tery_2360","638107453","3646145","3646465","+","0.38","321","107","protein of unknown function DUF1568","113475992","4245008","-"
"Tery_2361","638107454","3646593","3646931","+","0.44","339","113","conserved hypothetical protein","113475993","4245009","-"
